m[INFO] 2023-11-08 14:15:51.440606 InternalColumnArr.h:458: [INTERGER col SYMN], min: -38694403, max: -38679362, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440622 InternalColumnArr.h:496: [DOUBLE col TEDW], min: 67073227.688607, max: 67483294.115914, diff_cnt: 56
m[INFO] 2023-11-08 14:15:51.440641 InternalColumnArr.h:458: [INTERGER col TFGW], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440651 InternalColumnArr.h:458: [INTERGER col UAPJ], min: -6210353, max: -6207946, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440677 InternalColumnArr.h:458: [INTERGER col UICP], min: -619103093, max: -618862431, diff_cnt: 19
m[INFO] 2023-11-08 14:15:51.440687 InternalColumnArr.h:496: [DOUBLE col UVGJ], min: 15254.579090, max: 15398.282769, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440751 InternalColumnArr.h:458: [INTERGER col WKUZ], min: -1, max: -1, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440755 InternalColumnArr.h:458: [INTERGER col WLYQ], min: -87617, max: -87587, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440765 InternalColumnArr.h:458: [INTERGER col WNHB], min: -22635, max: -12699, diff_cnt: 92
m[INFO] 2023-11-08 14:15:51.440781 InternalColumnArr.h:458: [INTERGER col XCDQ], min: -601007, max: -600766, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440793 InternalColumnArr.h:496: [DOUBLE col XRTP], min: 77371626.795849, max: 77401709.635518, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440806 InternalColumnArr.h:458: [INTERGER col YCTI], min: 1, max: 5, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440817 InternalColumnArr.h:458: [INTERGER col YDXB], min: -7726893, max: -7723885, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440842 InternalColumnArr.h:496: [DOUBLE col ZIKG], min: 9804.799648, max: 9808.900312, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440856 InternalColumnArr.h:458: [INTERGER col ZTGP], min: 55259, max: 55274, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.440863 InternalColumnArr.h:458: [INTERGER col ZZBE], min: -24641, max: -14785, diff_cnt: 98
m[INFO] 2023-11-08 14:15:51.446683 InternalColumnArr.h:458: [INTERGER col KACE], min: 7730150, max: 7733158, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.446713 InternalColumnArr.h:458: [INTERGER col KFGP], min: -18038, max: -8086, diff_cnt: 98
m[INFO] 2023-11-08 14:15:51.446732 InternalColumnArr.h:458: [INTERGER col KWET], min: 17995, max: 20987, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.446750 InternalColumnArr.h:458: [INTERGER col LFZG], min: 91054, max: 91084, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.446774 InternalColumnArr.h:458: [INTERGER col LIOS], min: -31828, max: -31825, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.446809 InternalColumnArr.h:496: [DOUBLE col LMLK], min: 3768229.606772, max: 3809205.731341, diff_cnt: 2
m[INFO] 2023-11-08 14:15:51.446827 InternalColumnArr.h:496: [DOUBLE col LYLI], min: 128244.468910, max: 128882.404067, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.446843 InternalColumnArr.h:458: [INTERGER col MLBY], min: -61887906, max: -61863840, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447100 InternalColumnArr.h:458: [INTERGER col MUBC], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447115 InternalColumnArr.h:458: [INTERGER col NXCR], min: 3882162, max: 3883666, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447269 InternalColumnArr.h:458: [INTERGER col OZSM], min: 386798501, max: 386948915, diff_cnt: 12
m[INFO] 2023-11-08 14:15:51.447280 InternalColumnArr.h:458: [INTERGER col PQRQ], min: 61911305, max: 61935371, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447325 InternalColumnArr.h:496: [DOUBLE col SBXA], min: -72419.128712, max: -72389.045866, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447366 InternalColumnArr.h:458: [INTERGER col SYMN], min: -38694406, max: -38679364, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447379 InternalColumnArr.h:496: [DOUBLE col TEDW], min: 67073374.670148, max: 67483135.915837, diff_cnt: 55
m[INFO] 2023-11-08 14:15:51.447395 InternalColumnArr.h:458: [INTERGER col TFGW], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447403 InternalColumnArr.h:458: [INTERGER col UAPJ], min: -6210353, max: -6207946, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447427 InternalColumnArr.h:458: [INTERGER col UICP], min: -619103136, max: -618862473, diff_cnt: 14
m[INFO] 2023-11-08 14:15:51.447436 InternalColumnArr.h:496: [DOUBLE col UVGJ], min: 15254.630598, max: 15398.227329, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447491 InternalColumnArr.h:458: [INTERGER col WKUZ], min: -1, max: -1, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447494 InternalColumnArr.h:458: [INTERGER col WLYQ], min: -87617, max: -87587, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447502 InternalColumnArr.h:458: [INTERGER col WNHB], min: -22655, max: -12719, diff_cnt: 88
