@@@@@@@@@@@ vid 273, ts: 1694078534000 | [AELJ] :-2147483645 | [APVN] :-2147483647 | [AXXB] :ME%o;wocIskYskM;,A(6%/;Q;o2AwAIoQk=6YQ6 | [BJSS] :-2147483647 | [BRMN] :144571.381036 | [BYQH] :1486224 | [CJMA] :7135762 | [CMGV] :4 | [CTEI] :6 | [CTYC] :-71324942 | [DEKG] :-3179 | [DHJE] :44560386 | [EVXL] :-1 | [EXAS] :-10233 | [FPFF] :4810 | [GDFW] :8 | [HQBX] :-2147483646 | [IJKG] :-4455527 | [IYMN] :RIGHT | [JENI] :-113627 | [JUFJ] :16281.691316 | [JUMF] :457358 | [JXOS] :-7125133 | [JYXY] :4736295 | [KSSM] :-884190.413058 | [MJBX] :-907965 | [MQXF] :13507793 | [MXVL] :-31054 | [OCCI] :424412 | [OGOM] :-2429 | [OKTM] :0 | [PLNE] :889547 | [QCBJ] :]E | [QYZI] :SUCCESS | [RHCS] :6072 | [RJUR] :x | [RNSE] :25178 | [RXBA] :-709266 | [SBNJ] :66028652.916827 | [SCSF] :-24223 | [SGMS] :93731.358863 | [SUTP] :4&yOqSWCeueW[WKK4CS\a#C#W'-[GuSOO[qei\0Kmy\a\0-SymiGeW'GeiSOmWeG#e[4SG.[O-ui&'CaGiO80\Cu-q#u&mqyK.8O | [UPNT] :-57429 | [VDIK] :S | [VEOD] :7305298.162771 | [VHQI] :8918139.519503 | [VKYF] :2577 | [VOTU] :26831.316698 | [VRCM] :86207 | [VZWB] :-2692 | [WLZH] :5769.778077 | [WVKX] :8819 | [WZVQ] :wEM(]%/E%Qc/6!; | [XZGR] :2 | [YCFN] :!g2s,;,c;]UEM=!;/QoEw;kgccE6so | [YGOI] :-2147483645 | [YHSA] :8902454 | [YQGL] :25661.638499 | [YVEN] :14796 | [ZXTE] :33038 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078535000 | [AELJ] :-2147483647 | [APVN] :-2147483646 | [AXXB] :]Uo=;YkYIsA;]ckkU/U%k]!E6w(!gAs2 | [BJSS] :-2147483646 | [BRMN] :144571.548614 | [BYQH] :192208 | [CJMA] :7145232 | [CMGV] :1 | [CTEI] :4 | [CTYC] :-71419644 | [DEKG] :-3180 | [DHJE] :44619576 | [EVXL] :-1 | [EXAS] :-10227 | [FPFF] :6794 | [GDFW] :6 | [HQBX] :-2147483645 | [IJKG] :-4461446 | [IYMN] :RIGHT | [JENI] :-113746 | [JUFJ] :16281.729037 | [JUMF] :457950 | [JXOS] :-7134603 | [JYXY] :4942279 | [KSSM] :-885374.194670 | [MJBX] :-909148 | [MQXF] :19197425 | [MXVL] :-31066 | [OCCI] :425004 | [OGOM] :-2428 | [OKTM] :-1 | [PLNE] :890730 | [QCBJ] :AU | [QYZI] :SUCCESS | [RHCS] :6072 | [RJUR] :x | [RNSE] :26162 | [RXBA] :-710213 | [SBNJ] :66028760.556513 | [SCSF] :-24283 | [SGMS] :93849.737025 | [SUTP] :e'#i&u'[e8u\eOW4qa8WK0i0#0.uquC\0.[0i00#4S8&iGm8WqySO&.e#GS..-CSWemuS-O0#aS0['C4qKSqKu48-KKiOaCOu4e4 | [UPNT] :-57524 | [VDIK] :' | [VEOD] :7305308.926740 | [VHQI] :8929977.335625 | [VKYF] :2561 | [VOTU] :26831.435077 | [VRCM] :86302 | [VZWB] :-6708 | [WLZH] :5769.779153 | [WVKX] :14803 | [WZVQ] :!U]M]QI]%QsE]oc | [XZGR] :3 | [YCFN] :kwcAU6EY;]!!6AIkYo;/s(;,(!Ucco | [YGOI] :-2147483647 | [YHSA] :7108438 | [YQGL] :25649.800683 | [YVEN] :20780 | [ZXTE] :33050 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078536000 | [AELJ] :-2147483645 | [APVN] :-2147483645 | [AXXB] :k=;k,/6=;AY=g62%oQE!c;IU%26YEc,/ | [BJSS] :-2147483647 | [BRMN] :144574.340858 | [BYQH] :1450160 | [CJMA] :7155603 | [CMGV] :5 | [CTEI] :8 | [CTYC] :-71523356 | [DEKG] :-3181 | [DHJE] :44684395 | [EVXL] :-1 | [EXAS] :-10221 | [FPFF] :4746 | [GDFW] :8 | [HQBX] :-2147483646 | [IJKG] :-4467928 | [IYMN] :RIGHT | [JENI] :-113875 | [JUFJ] :16282.357560 | [JUMF] :458598 | [JXOS] :-7144974 | [JYXY] :4700231 | [KSSM] :-886670.587035 | [MJBX] :-910445 | [MQXF] :13471729 | [MXVL] :-31079 | [OCCI] :425652 | [OGOM] :-2427 | [OKTM] :1 | [PLNE] :892027 | [QCBJ] :Y= | [QYZI] :SUCCESS | [RHCS] :6072 | [RJUR] :x | [RNSE] :24114 | [RXBA] :-711250 | [SBNJ] :66030554.082438 | [SCSF] :-24347 | [SGMS] :93979.376261 | [SUTP] :CuO[-uOiaCS-#e0uy'S'Ce-&GGyiO.Syiuu-'[e.\#4C0.q0..[y8.y#qqm[mO0W'W'qymeuaqOeC-..#CWeuOmS[im-y[.[-mK0 | [UPNT] :-57628 | [VDIK] :q | [VEOD] :7305488.279332 | [VHQI] :8942941.259269 | [VKYF] :2513 | [VOTU] :26831.564716 | [VRCM] :86406 | [VZWB] :1244 | [WLZH] :5769.797089 | [WVKX] :9107 | [WZVQ] :U=2oQQ;kwYQ!Usg | [XZGR] :2 | [YCFN] :I/(2Y6M=M,,2AE]%66%Ik=2k]QI;]Q | [YGOI] :-2147483646 | [YHSA] :1382742 | [YQGL] :25636.836759 | [YVEN] :18732 | [ZXTE] :33063 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078537000 | [AELJ] :-2147483646 | [APVN] :-2147483645 | [AXXB] :QwMk,w]2I,/%/IskcAgE,IEss%;,cwo%k!wYc | [BJSS] :-2147483645 | [BRMN] :144574.760705 | [BYQH] :1465616 | [CJMA] :7166875 | [CMGV] :1 | [CTEI] :5 | [CTYC] :-71636073 | [DEKG] :-3183 | [DHJE] :44754844 | [EVXL] :-1 | [EXAS] :-10214 | [FPFF] :5202 | [GDFW] :7 | [HQBX] :-2147483647 | [IJKG] :-4474973 | [IYMN] :RIGHT | [JENI] :-114016 | [JUFJ] :16282.452066 | [JUMF] :459303 | [JXOS] :-7156246 | [JYXY] :4715687 | [KSSM] :-888079.554610 | [MJBX] :-911854 | [MQXF] :33487185 | [MXVL] :-31093 | [OCCI] :426357 | [OGOM] :-2425 | [OKTM] :1 | [PLNE] :893436 | [QCBJ] :;w | [QYZI] :SUCCESS | [RHCS] :6072 | [RJUR] :x | [RNSE] :24570 | [RXBA] :-712377 | [SBNJ] :66030823.760225 | [SCSF] :-24418 | [SGMS] :94120.273019 | [SUTP] :88.[u'uCe.'#q-44#Cumui&\[eWSmq#a8[4W0y[u[mm4qm8\m4&.C#Wququ'eqWSCe-[4GameaWG-0eGuK-.84\'Sa8Cay#&44'& | [UPNT] :-57740 | [VDIK] :W | [VEOD] :7305515.247111 | [VHQI] :8957030.935023 | [VKYF] :3969 | [VOTU] :26831.705613 | [VRCM] :86518 | [VZWB] :-3300 | [WLZH] :5769.799785 | [WVKX] :8211 | [WZVQ] :AwYo;o!E%(;2/Uk | [XZGR] :1 | [YCFN] :%MA2/E62;2IUsgQkgQQcc]Y=E26A/k | [YGOI] :-2147483646 | [YHSA] :8881846 | [YQGL] :25622.747083 | [YVEN] :24188 | [ZXTE] :33077 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078538000 | [AELJ] :-2147483646 | [APVN] :-2147483646 | [AXXB] :%YogQUUY]A2sgAcwc%Q;k(ooc]Y2IIkA6k6oskw | [BJSS] :-2147483645 | [BRMN] :144579.647511 | [BYQH] :1009808 | [CJMA] :7179047 | [CMGV] :1 | [CTEI] :2 | [CTYC] :-71757793 | [DEKG] :-3184 | [DHJE] :44830919 | [EVXL] :-1 | [EXAS] :-10206 | [FPFF] :5042 | [GDFW] :4 | [HQBX] :-2147483647 | [IJKG] :-4482580 | [IYMN] :RIGHT | [JENI] :-114168 | [JUFJ] :16283.552067 | [JUMF] :460063 | [JXOS] :-7168418 | [JYXY] :3743527 | [KSSM] :-889601.058769 | [MJBX] :-913375 | [MQXF] :24515025 | [MXVL] :-31108 | [OCCI] :427117 | [OGOM] :-2424 | [OKTM] :-1 | [PLNE] :894957 | [QCBJ] :oY | [QYZI] :SUCCESS | [RHCS] :6072 | [RJUR] :x | [RNSE] :27410 | [RXBA] :-713594 | [SBNJ] :66033962.674749 | [SCSF] :-24494 | [SGMS] :94272.423434 | [SUTP] :'.#-CqCy.&Wqy#aqm&4#KS0[i4q0SCua4yam&WqeG'qqyS8qW'SS[KC&-e0[8e'W'iu0K-mC0[WSyKqOW4['ei#m\88W[G'&K\Gu | [UPNT] :-57862 | [VDIK] :- | [VEOD] :7305829.138563 | [VHQI] :8972245.976611 | [VKYF] :4161 | [VOTU] :26831.857763 | [VRCM] :86640 | [VZWB] :-5460 | [WLZH] :5769.831174 | [WVKX] :12403 | [WZVQ] :kY]kMM(A6YU6U]U | [XZGR] :1 | [YCFN] :/%cYg2%Y=,/YA/A!U;]2s!I(o%AI;= | [YGOI] :-2147483647 | [YHSA] :2426038 | [YQGL] :25607.532042 | [YVEN] :22028 | [ZXTE] :33092 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078539000 | [AELJ] :-2147483645 | [APVN] :-2147483647 | [AXXB] :o6M;IQ,A/QAUMgQ=M=IA(Qk/]6Us=;A6w | [BJSS] :-2147483647 | [BRMN] :144579.490912 | [BYQH] :658224 | [CJMA] :7192119 | [CMGV] :2 | [CTEI] :3 | [CTYC] :-71888513 | [DEKG] :-3186 | [DHJE] :44912619 | [EVXL] :-1 | [EXAS] :-10198 | [FPFF] :4810 | [GDFW] :5 | [HQBX] :-2147483646 | [IJKG] :-4490750 | [IYMN] :RIGHT | [JENI] :-114332 | [JUFJ] :16283.516818 | [JUMF] :460880 | [JXOS] :-7181490 | [JYXY] :3391943 | [KSSM] :-891235.057798 | [MJBX] :-915009 | [MQXF] :38163441 | [MXVL] :-31125 | [OCCI] :427934 | [OGOM] :-2422 | [OKTM] :0 | [PLNE] :896591 | [QCBJ] :26 | [QYZI] :SUCCESS | [RHCS] :6072 | [RJUR] :x | [RNSE] :27178 | [RXBA] :-714902 | [SBNJ] :66033862.087426 | [SCSF] :-24576 | [SGMS] :94435.823337 | [SUTP] :Ge.qu#&0i'uS4SOCW[WieqWuS.#q'[KGuGO'eq\0#Cy'yKuG4O\'[8yOG'8i#0K0&S\e0COG4q'WKqu.-C4#\u00W'uqK4&G-C#m | [UPNT] :-57993 | [VDIK] :u | [VEOD] :7305819.079831 | [VHQI] :8988585.966906 | [VKYF] :2577 | [VOTU] :26832.021163 | [VRCM] :86771 | [VZWB] :-692 | [WLZH] :5769.830169 | [WVKX] :10819 | [WZVQ] :/6kU;Is2E%s,]s, | [XZGR] :2 | [YCFN] :M=A,/Y%AUkwA6EA=;/(YAIE2/Uw/(E | [YGOI] :-2147483645 | [YHSA] :6074454 | [YQGL] :25591.192051 | [YVEN] :16796 | [ZXTE] :33109 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078540000 | [AELJ] :-2147483646 | [APVN] :-2147483646 | [AXXB] :MMk]cc];,]/%;cwo,6/Y%A2UI%g2Es2sgIgwwoE | [BJSS] :-2147483645 | [BRMN] :144581.994367 | [BYQH] :487888 | [CJMA] :7206090 | [CMGV] :3 | [CTEI] :7 | [CTYC] :-72028229 | [DEKG] :-3188 | [DHJE] :44999941 | [EVXL] :-1 | [EXAS] :-10189 | [FPFF] :5474 | [GDFW] :7 | [HQBX] :-2147483647 | [IJKG] :-4499483 | [IYMN] :RIGHT | [JENI] :-114507 | [JUFJ] :16284.080336 | [JUMF] :461754 | [JXOS] :-7195461 | [JYXY] :5237959 | [KSSM] :-892981.506901 | [MJBX] :-916756 | [MQXF] :28009457 | [MXVL] :-31142 | [OCCI] :428808 | [OGOM] :-2420 | [OKTM] :-1 | [PLNE] :898338 | [QCBJ] :AM | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :26842 | [RXBA] :-716299 | [SBNJ] :66035470.117225 | [SCSF] :-24663 | [SGMS] :94610.468248 | [SUTP] :e[80\y8qeC'#iOu8e8m-aaaqOS#0Om#SeWOu-0yq#Kq-&G.a8#q0[-q0C&K&qS44SmW'&4uqae.y-G[0#8..#\#.KmS&&G8KGu-u | [UPNT] :-58133 | [VDIK] :S | [VEOD] :7305979.882811 | [VHQI] :9006050.457938 | [VKYF] :4241 | [VOTU] :26832.195808 | [VRCM] :86911 | [VZWB] :-1028 | [WLZH] :5769.846249 | [WVKX] :16835 | [WZVQ] :wM=;/Uks%k;oE2% | [XZGR] :1 | [YCFN] :k2/E6!gQ;UIUk%goM=Iwws=kU2=,A6 | [YGOI] :-2147483647 | [YHSA] :5920470 | [YQGL] :25573.727560 | [YVEN] :16460 | [ZXTE] :33126 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078541000 | [AELJ] :-2147483645 | [APVN] :-2147483645 | [AXXB] :kksc6A=U==!o]QQQ%]Y%k/!gswcoEM!;cYQcA6= | [BJSS] :-2147483647 | [BRMN] :144582.143966 | [BYQH] :614192 | [CJMA] :7220961 | [CMGV] :2 | [CTEI] :2 | [CTYC] :-72176937 | [DEKG] :-3189 | [DHJE] :45092884 | [EVXL] :-1 | [EXAS] :-10180 | [FPFF] :5778 | [GDFW] :4 | [HQBX] :-2147483646 | [IJKG] :-4508777 | [IYMN] :RIGHT | [JENI] :-114692 | [JUFJ] :16284.114010 | [JUMF] :462683 | [JXOS] :-7210332 | [JYXY] :5364263 | [KSSM] :-894840.358199 | [MJBX] :-918615 | [MQXF] :22135761 | [MXVL] :-31161 | [OCCI] :429737 | [OGOM] :-2419 | [OKTM] :1 | [PLNE] :900197 | [QCBJ] :/k | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :23146 | [RXBA] :-717786 | [SBNJ] :66035566.208121 | [SCSF] :-24756 | [SGMS] :94796.353377 | [SUTP] :&W&CS.4u'y4mSCO.K\#..#iC[0u#OG-qa#Ka[e&-0e\u8m4'&K\#y[4S&iq8&e.#-'\O\aCGWi&[CeO-&Wa4yK0-WO&0..-m84C4 | [UPNT] :-58281 | [VDIK] :q | [VEOD] :7305989.491901 | [VHQI] :9024638.970910 | [VKYF] :2545 | [VOTU] :26832.381693 | [VRCM] :87059 | [VZWB] :-4724 | [WLZH] :5769.847210 | [WVKX] :13139 | [WZVQ] :,k;62sgw2g2cAc, | [XZGR] :2 | [YCFN] :=AgUwI2U(;g,goAQ(c,MsQ;!;!(U]A | [YGOI] :-2147483646 | [YHSA] :7530422 | [YQGL] :25555.139047 | [YVEN] :22764 | [ZXTE] :33145 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078542000 | [AELJ] :-2147483646 | [APVN] :-2147483646 | [AXXB] :=I6/ocMQ]s%Y/6wY!(MoY/];Ugg=UgQgkY;,6 | [BJSS] :-2147483645 | [BRMN] :144582.392732 | [BYQH] :515248 | [CJMA] :7236731 | [CMGV] :3 | [CTEI] :7 | [CTYC] :-72334633 | [DEKG] :-3191 | [DHJE] :45191444 | [EVXL] :-1 | [EXAS] :-10170 | [FPFF] :5834 | [GDFW] :7 | [HQBX] :-2147483647 | [IJKG] :-4518633 | [IYMN] :RIGHT | [JENI] :-114890 | [JUFJ] :16284.170006 | [JUMF] :463669 | [JXOS] :-7226102 | [JYXY] :5265319 | [KSSM] :-896811.560728 | [MJBX] :-920586 | [MQXF] :40036817 | [MXVL] :-31180 | [OCCI] :430723 | [OGOM] :-2417 | [OKTM] :-1 | [PLNE] :902168 | [QCBJ] :wI | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :24202 | [RXBA] :-719363 | [SBNJ] :66035725.996345 | [SCSF] :-24855 | [SGMS] :94993.473630 | [SUTP] :a-q#O#u&.88Wqeue--0.[#ym0[y-4a0Gi#['q&''04SaC#Kq8S\.8uG'0.G0OW\'.Ka4C.&Wq#4CeCe.&.y0C'm0a8C4\ai#4a[G | [UPNT] :-58439 | [VDIK] :O | [VEOD] :7306005.470723 | [VHQI] :9044350.996208 | [VKYF] :3601 | [VOTU] :26832.578813 | [VRCM] :87217 | [VZWB] :-3668 | [WLZH] :5769.848808 | [WVKX] :14195 | [WZVQ] :sI(ck,!(sQ6M/s% | [XZGR] :1 | [YCFN] :gkUQsksQI]kE(EUYo,=]g;gg6,=oQ, | [YGOI] :-2147483647 | [YHSA] :7947830 | [YQGL] :25535.427022 | [YVEN] :23820 | [ZXTE] :33164 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078543000 | [AELJ] :-2147483647 | [APVN] :-2147483647 | [AXXB] :oEA22;wo(2;!;(UEY]sw%Y%=;U%w26A | [BJSS] :-2147483646 | [BRMN] :144580.160102 | [BYQH] :1155504 | [CJMA] :7253399 | [CMGV] :4 | [CTEI] :3 | [CTYC] :-72501313 | [DEKG] :-3193 | [DHJE] :45295619 | [EVXL] :-1 | [EXAS] :-10160 | [FPFF] :4090 | [GDFW] :3 | [HQBX] :-2147483645 | [IJKG] :-4529050 | [IYMN] :RIGHT | [JENI] :-115098 | [JUFJ] :16283.667450 | [JUMF] :464710 | [JXOS] :-7242770 | [JYXY] :4405575 | [KSSM] :-898895.060449 | [MJBX] :-922669 | [MQXF] :33177073 | [MXVL] :-31201 | [OCCI] :431764 | [OGOM] :-2415 | [OKTM] :0 | [PLNE] :904251 | [QCBJ] :cE | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :24458 | [RXBA] :-721030 | [SBNJ] :66034291.924263 | [SCSF] :-24959 | [SGMS] :95201.823603 | [SUTP] :-q[C\m4\Oe[8WqS[u\'e0yme.['-#0K0eWu'Cyi#Cy8&uWeSaiS\yWiuW&iS[OeWmKCC4\C0uuKK000W4K&S.#-00W4&qO-CeG.G | [UPNT] :-58606 | [VDIK] :u | [VEOD] :7305862.063515 | [VHQI] :9065185.993416 | [VKYF] :3857 | [VOTU] :26832.787163 | [VRCM] :87384 | [VZWB] :-3412 | [WLZH] :5769.834467 | [WVKX] :14451 | [WZVQ] :/E/6YIg;k]=YEE/ | [XZGR] :3 | [YCFN] :]Uog6YcoAwAQkQ(E2c2U=c,McIQ2Yg | [YGOI] :-2147483645 | [YHSA] :1088086 | [YQGL] :25514.592025 | [YVEN] :24076 | [ZXTE] :33185 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078544000 | [AELJ] :-2147483646 | [APVN] :-2147483645 | [AXXB] :M2(owUw!wo6/((cksgk=!g;;wo%Qwk=/ | [BJSS] :-2147483645 | [BRMN] :144580.139752 | [BYQH] :1104944 | [CJMA] :7270965 | [CMGV] :2 | [CTEI] :5 | [CTYC] :-72676973 | [DEKG] :-3196 | [DHJE] :45405406 | [EVXL] :-1 | [EXAS] :-10149 | [FPFF] :4530 | [GDFW] :7 | [HQBX] :-2147483647 | [IJKG] :-4540029 | [IYMN] :RIGHT | [JENI] :-115317 | [JUFJ] :16283.662869 | [JUMF] :465808 | [JXOS] :-7260336 | [JYXY] :4355015 | [KSSM] :-901090.800241 | [MJBX] :-924865 | [MQXF] :20610161 | [MXVL] :-31223 | [OCCI] :432862 | [OGOM] :-2412 | [OKTM] :1 | [PLNE] :906447 | [QCBJ] :]2 | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :23898 | [RXBA] :-722786 | [SBNJ] :66034278.852842 | [SCSF] :-25068 | [SGMS] :95421.397582 | [SUTP] :4aCOi&e.'q0..qa4\i[4.-CmC''OGeG#4K8&.[Weem\aq&W-aC.iyKCi&i4e4.mmiu-4Sq[iO&&Kyu-meK\muy#OC'\O&GWqeG#e | [UPNT] :-58781 | [VDIK] :S | [VEOD] :7305860.756373 | [VHQI] :9087143.391334 | [VKYF] :3297 | [VOTU] :26833.006737 | [VRCM] :87559 | [VZWB] :-3972 | [WLZH] :5769.834336 | [WVKX] :7539 | [WZVQ] :w2Q(s/U/2MYM(;U | [XZGR] :1 | [YCFN] :!(66]oc!(=cEYcAkwwggs/kUIcQ=sY | [YGOI] :-2147483646 | [YHSA] :8521174 | [YQGL] :25492.634627 | [YVEN] :23516 | [ZXTE] :33207 | @@@@@@@@@@@@
