col 0 col_name AOAO, col_type Integer, origin_sz 686 MB, compress_sz 62 MB compress rate is 0.090654
col 1 col_name BBPX, col_type Integer, origin_sz 686 MB, compress_sz 105 MB compress rate is 0.153859
col 2 col_name BDPO, col_type double, origin_sz 1373 MB, compress_sz 1092 MB compress rate is 0.795730
col 3 col_name BTJH, col_type Integer, origin_sz 686 MB, compress_sz 375 MB compress rate is 0.547473
col 4 col_name BZPV, col_type Integer, origin_sz 686 MB, compress_sz 607 MB compress rate is 0.885463
col 5 col_name CSRC, col_type Integer, origin_sz 686 MB, compress_sz 570 MB compress rate is 0.830931
col 6 col_name DSKQ, col_type Integer, origin_sz 686 MB, compress_sz 29 MB compress rate is 0.042627
col 7 col_name ENVH, col_type Integer, origin_sz 686 MB, compress_sz 542 MB compress rate is 0.790219
col 8 col_name EQLU, col_type Integer, origin_sz 686 MB, compress_sz 248 MB compress rate is 0.362326
col 9 col_name EXGV, col_type Integer, origin_sz 686 MB, compress_sz 62 MB compress rate is 0.090659
col 10 col_name FLLY, col_type string, origin_sz 514 MB, compress_sz 121 MB compress rate is 0.236206
col 11 col_name FQTH, col_type double, origin_sz 1373 MB, compress_sz 1102 MB compress rate is 0.802887
col 12 col_name FVXS, col_type string, origin_sz 572 MB, compress_sz 89 MB compress rate is 0.155742
col 13 col_name FWKW, col_type double, origin_sz 1373 MB, compress_sz 821 MB compress rate is 0.598404
col 14 col_name GLNG, col_type string, origin_sz 6351 MB, compress_sz 4277 MB compress rate is 0.673511
col 15 col_name GMNR, col_type Integer, origin_sz 686 MB, compress_sz 200 MB compress rate is 0.291336
col 16 col_name GMVS, col_type Integer, origin_sz 686 MB, compress_sz 1 MB compress rate is 0.001897
col 17 col_name GONE, col_type Integer, origin_sz 686 MB, compress_sz 565 MB compress rate is 0.823157
col 18 col_name HJPZ, col_type Integer, origin_sz 686 MB, compress_sz 350 MB compress rate is 0.509880
col 19 col_name HRXI, col_type Integer, origin_sz 686 MB, compress_sz 105 MB compress rate is 0.153864
col 20 col_name JCGU, col_type Integer, origin_sz 686 MB, compress_sz 62 MB compress rate is 0.090657
col 21 col_name JDOE, col_type Integer, origin_sz 686 MB, compress_sz 311 MB compress rate is 0.453915
col 22 col_name JHET, col_type Integer, origin_sz 686 MB, compress_sz 61 MB compress rate is 0.090131
col 23 col_name JKZL, col_type Integer, origin_sz 686 MB, compress_sz 232 MB compress rate is 0.337891
col 24 col_name JUBK, col_type string, origin_sz 17509 MB, compress_sz 11935 MB compress rate is 0.681657
col 25 col_name KACE, col_type Integer, origin_sz 686 MB, compress_sz 418 MB compress rate is 0.608772
col 26 col_name KFGP, col_type Integer, origin_sz 686 MB, compress_sz 375 MB compress rate is 0.546458
col 27 col_name KWET, col_type Integer, origin_sz 686 MB, compress_sz 329 MB compress rate is 0.480190
col 28 col_name LFZG, col_type Integer, origin_sz 686 MB, compress_sz 107 MB compress rate is 0.156096
col 29 col_name LIOS, col_type Integer, origin_sz 686 MB, compress_sz 29 MB compress rate is 0.042624
col 30 col_name LIYD, col_type string, origin_sz 514 MB, compress_sz 31 MB compress rate is 0.060931
col 31 col_name LMLK, col_type double, origin_sz 1373 MB, compress_sz 1119 MB compress rate is 0.814868
col 32 col_name LYLI, col_type double, origin_sz 1373 MB, compress_sz 1077 MB compress rate is 0.784546
col 33 col_name MLBY, col_type Integer, origin_sz 686 MB, compress_sz 492 MB compress rate is 0.716638
col 34 col_name MUBC, col_type Integer, origin_sz 686 MB, compress_sz 62 MB compress rate is 0.090659
col 35 col_name NXCR, col_type Integer, origin_sz 686 MB, compress_sz 376 MB compress rate is 0.547630
col 36 col_name ORNI, col_type string, origin_sz 5493 MB, compress_sz 3540 MB compress rate is 0.644448
col 37 col_name OZSM, col_type Integer, origin_sz 686 MB, compress_sz 537 MB compress rate is 0.782939
col 38 col_name PQRQ, col_type Integer, origin_sz 686 MB, compress_sz 492 MB compress rate is 0.717018
col 39 col_name SBXA, col_type double, origin_sz 1373 MB, compress_sz 1107 MB compress rate is 0.806166
col 40 col_name SCHU, col_type string, origin_sz 514 MB, compress_sz 142 MB compress rate is 0.276263
