 col 0 col_name AOAO, col_type Integer, origin_sz 686 MB, compress_sz 70 MB compress rate is 0.102563
 col 1 col_name BBPX, col_type Integer, origin_sz 686 MB, compress_sz 113 MB compress rate is 0.164949
 col 2 col_name BDPO, col_type double, origin_sz 1373 MB, compress_sz 967 MB compress rate is 0.704723
 col 3 col_name BTJH, col_type Integer, origin_sz 686 MB, compress_sz 251 MB compress rate is 0.366068
 col 4 col_name BZPV, col_type Integer, origin_sz 686 MB, compress_sz 594 MB compress rate is 0.865292
 col 5 col_name CSRC, col_type Integer, origin_sz 686 MB, compress_sz 535 MB compress rate is 0.780275
 col 6 col_name DSKQ, col_type Integer, origin_sz 686 MB, compress_sz 72 MB compress rate is 0.105572
 col 7 col_name ENVH, col_type Integer, origin_sz 686 MB, compress_sz 486 MB compress rate is 0.709042
 col 8 col_name EQLU, col_type Integer, origin_sz 686 MB, compress_sz 201 MB compress rate is 0.292808
 col 9 col_name EXGV, col_type Integer, origin_sz 686 MB, compress_sz 70 MB compress rate is 0.102563
 col 10 col_name FLLY, col_type string, origin_sz 514 MB, compress_sz 130 MB compress rate is 0.252696
 col 11 col_name FQTH, col_type double, origin_sz 1373 MB, compress_sz 967 MB compress rate is 0.704550
 col 12 col_name FVXS, col_type string, origin_sz 572 MB, compress_sz 154 MB compress rate is 0.269765
 col 13 col_name FWKW, col_type double, origin_sz 1373 MB, compress_sz 894 MB compress rate is 0.651178
 col 14 col_name GLNG, col_type string, origin_sz 6351 MB, compress_sz 3731 MB compress rate is 0.587573
 col 15 col_name GMNR, col_type Integer, origin_sz 686 MB, compress_sz 180 MB compress rate is 0.262223
 col 16 col_name GMVS, col_type Integer, origin_sz 686 MB, compress_sz 22 MB compress rate is 0.033243
 col 17 col_name GONE, col_type Integer, origin_sz 686 MB, compress_sz 546 MB compress rate is 0.796275
 col 18 col_name HJPZ, col_type Integer, origin_sz 686 MB, compress_sz 313 MB compress rate is 0.456458
 col 19 col_name HRXI, col_type Integer, origin_sz 686 MB, compress_sz 113 MB compress rate is 0.164953
 col 20 col_name JCGU, col_type Integer, origin_sz 686 MB, compress_sz 70 MB compress rate is 0.102563
 col 21 col_name JDOE, col_type Integer, origin_sz 686 MB, compress_sz 262 MB compress rate is 0.382833
 col 22 col_name JHET, col_type Integer, origin_sz 686 MB, compress_sz 70 MB compress rate is 0.102563
 col 23 col_name JKZL, col_type Integer, origin_sz 686 MB, compress_sz 194 MB compress rate is 0.283093
 col 24 col_name JUBK, col_type string, origin_sz 17509 MB, compress_sz 9988 MB compress rate is 0.570481
 col 25 col_name KACE, col_type Integer, origin_sz 686 MB, compress_sz 275 MB compress rate is 0.401151
 col 26 col_name KFGP, col_type Integer, origin_sz 686 MB, compress_sz 336 MB compress rate is 0.490286
 col 27 col_name KWET, col_type Integer, origin_sz 686 MB, compress_sz 284 MB compress rate is 0.414083
 col 28 col_name LFZG, col_type Integer, origin_sz 686 MB, compress_sz 132 MB compress rate is 0.193206
 col 29 col_name LIOS, col_type Integer, origin_sz 686 MB, compress_sz 72 MB compress rate is 0.105572
 col 30 col_name LIYD, col_type string, origin_sz 514 MB, compress_sz 16 MB compress rate is 0.031333
 col 31 col_name LMLK, col_type double, origin_sz 1373 MB, compress_sz 977 MB compress rate is 0.711914
 col 32 col_name LYLI, col_type double, origin_sz 1373 MB, compress_sz 958 MB compress rate is 0.697693
 col 33 col_name MLBY, col_type Integer, origin_sz 686 MB, compress_sz 380 MB compress rate is 0.554629
 col 34 col_name MUBC, col_type Integer, origin_sz 686 MB, compress_sz 70 MB compress rate is 0.102563
 col 35 col_name NXCR, col_type Integer, origin_sz 686 MB, compress_sz 251 MB compress rate is 0.366942
 col 36 col_name ORNI, col_type string, origin_sz 5493 MB, compress_sz 3041 MB compress rate is 0.553671
 col 37 col_name OZSM, col_type Integer, origin_sz 686 MB, compress_sz 444 MB compress rate is 0.647882
 col 38 col_name PQRQ, col_type Integer, origin_sz 686 MB, compress_sz 380 MB compress rate is 0.554652
 col 39 col_name SBXA, col_type double, origin_sz 1373 MB, compress_sz 1000 MB compress rate is 0.728426
 col 40 col_name SCHU, col_type string, origin_sz 514 MB, compress_sz 121 MB compress rate is 0.235188
 col 41 col_name SYMN, col_type Integer, origin_sz 686 MB, compress_sz 364 MB compress rate is 0.530841
 col 42 col_name TEDW, col_type double, origin_sz 1373 MB, compress_sz 975 MB compress rate is 0.710461
 col 43 col_name TFGW, col_type Integer, origin_sz 686 MB, compress_sz 70 MB compress rate is 0.102563
 col 44 col_name UAPJ, col_type Integer, origin_sz 686 MB, compress_sz 268 MB compress rate is 0.390607
 col 45 col_name UFPI, col_type string, origin_sz 1201 MB, compress_sz 18 MB compress rate is 0.015663
 col 46 col_name UICP, col_type Integer, origin_sz 686 MB, compress_sz 468 MB compress rate is 0.681679
 col 47 col_name UVGJ, col_type double, origin_sz 1373 MB, compress_sz 991 MB compress rate is 0.722141
 col 48 col_name UZSV, col_type string, origin_sz 2918 MB, compress_sz 1529 MB compress rate is 0.524094
 col 49 col_name WKUZ, col_type Integer, origin_sz 686 MB, compress_sz 6 MB compress rate is 0.008812
 col 50 col_name WLYQ, col_type Integer, origin_sz 686 MB, compress_sz 132 MB compress rate is 0.193206
 col 51 col_name WNHB, col_type Integer, origin_sz 686 MB, compress_sz 336 MB compress rate is 0.490285
 col 52 col_name XCDQ, col_type Integer, origin_sz 686 MB, compress_sz 194 MB compress rate is 0.283093
 col 53 col_name XRTP, col_type double, origin_sz 1373 MB, compress_sz 992 MB compress rate is 0.722712
 col 54 col_name YCTI, col_type Integer, origin_sz 686 MB, compress_sz 91 MB compress rate is 0.133813
 col 55 col_name YDXB, col_type Integer, origin_sz 686 MB, compress_sz 275 MB compress rate is 0.400907
 col 56 col_name ZEBY, col_type string, origin_sz 1544 MB, compress_sz 20 MB compress rate is 0.013056
 col 57 col_name ZIKG, col_type double, origin_sz 1373 MB, compress_sz 895 MB compress rate is 0.652357
 col 58 col_name ZTGP, col_type Integer, origin_sz 686 MB, compress_sz 112 MB compress rate is 0.164384
 col 59 col_name ZZBE, col_type Integer, origin_sz 686 MB, compress_sz 336 MB compress rate is 0.490285
 col 60, origin_sz 1373 MB, compress_sz 125 MB compress rate is 0.091652
